essay_id_comp,prompt_name,full_text,rater1_domain1,rater2_domain1,domain1_score,holistic_essay_score
20716,8, A long time ago when I was in third grade I had a friend @PERSON2 who's mom was in a bad mood. She never laughed and she never smiled. Every time I saw her I would smile at her and all she would do was frown and keep walking. At first I didn't know she was a grouch i just thought she didn't like me or something.When @PERSON2 told me his mom was a grouch I started to laugh and laugh. He asked me what was so funny i told him that i thought his mom didn't like me or something because every time I see his mom I would smile at her and all she will do is frown and walk away. That made my friend laugh we were cracking up so hard that we got in trouble in class.   The next day @PERSON2 and I were eating lunch at school when he says to me &lt;hey your pretty good at making people laugh&gt;. I said &lt;no I am not my jokesare horrible&gt;. He said &lt;@CAPS1 lets put them to the test go up to some one new to this school&gt;. I said @CAPS1 so we went around the whole school looking for a new student unfortunately we couldn't find one we heard the bell ring and we ran to our class. We sat in the back of the classroom its only @PERSON2 and I and anempty seat between us. We were excited because our teacher @PERSON1 was going to show us a movie. @PERSON1 got the front of the room andclass today I have an announcement we have a new student in our class say hello to @LOCATION1. @ORGANIZATION1 walked through the door. @PERSON1 told @ORGANIZATION1 shecould sit in the back in between @PERSON2 and I. She sat down turned to the both of us and said hello. @PERSON2 gave me a look that said tell her the joke and @CAPS3 him a thumbs up. I turned to @LOCATION1 and said hi I'm @CAPS4 do you want to hear a joke. @ORGANIZATION1 said yeah sure. I started &lt;@CAPS5 knockshe said &lt;who's thereI said &lt;booshe said &lt;boo who?I said &lt;oh don't cry I am right here&gt;. At first she didn't laugh because she didn't get it but duringthe middle of the movie she said &lt;ohhhh I get itand she started to laugh. @PERSON2 turned to me and said &lt;I told you so&gt;.   @PERSON2 got this crazy idea that if I spent the night at his house that I could make his mom laugh or at least make her smile. I said &lt;@CAPS1 sounds like a plan&gt;. I asked mt mom if it was @CAPS1 if I could spend the night at @PERSON2 house she said &lt;yeah just make sure its @CAPS1 with his mom&gt;. @PERSON2 asked his mom she said it was @CAPS1. When I got to @PERSON2 house the first thing we did was play video games. When it was dinner time we all sat down at the table to eat @PERSON2 and I were on one side and his parents on the other. When we started eating @PERSON2 told me to tell the joke to his parents i said @CAPS1. So I said to them &lt;@CAPS5 @CAPS5&gt;they replied &lt;who's thereI said &lt;boothey said &lt;boo who?I said &lt;oh don't cry I am right here&gt;. His parents started to laugh and laugh and they keptlaughing for like five minutes. @PERSON2 turned to me and yelled it worked his mom asked what worked. @PERSON2 explained everything to them. His mom told usthat her mom had recently died and that's why she was in a bad mood. After dinner we went to bed and fell asleep. The next morning when my mom came to pick me up she asked me how the sleep over went. I said it was fun I made people laugh. She said @CAPS1 but laughter isn't going to help you clean your roomall i could say was gosh darn it.             FIN,18,16,34,2
20718,8," Some people like making people laugh, I love it. I will do most anything to get a good laugh. I will make fun of my self, do insanely stupid things, and sometimes hurt myself (not in any serious way). When I was little I didn't really understand laughter. For some odd reason I could never tell the difference if people were laughing at something or laughing with it. I was kind of ""special"" in some areas as a kid (I still am today). Still at the tender age of five I loved making people laugh, and being special I would do even crazier things for a laugh. Mind you I was kind of a spaz, and a really big spaz. I was the most hyperactive five year old you will ever meet. For example one time I hit myself in the head with a hammer, another time I was dancing around in class with a pencil in my hand, stabbed myself in the head with it, and needed stitches. One of the craziest times though was a couple days before I had to take pictures and I wanted to go play outside, my mom knowing how ""special"" I was (I got it from her) wouldn't allow me to. The expert persuasive kid I was back then convinced her to let me go outside. Before I could even reach the street I fell head first on to the corner of the sidewalk leaving a huge mark and completely ruining the pictures. Although that might make some people laugh, this is a story about laughter not me being a spaz.  Now that you know that I love making people laugh, I'm ""special"", and that I'm a complete spaz I can get on with the story. Well I was in kindergarten and I loved school because I got to hang out with my friends and play with blocks, that might sound stupid but I was in kindergarten. The only thing I didn't like about kindergarten was bully's. Surprisingly I have never had a bully except kindergarten, but this was a bad bully. He would give me wedgies at story time and the whole deal (which was the best time to do so because the teacher could couldn't see). I still know the bully too, but he's no bully anymore, he's a goody two shoes now which I think is odd. Anyways, kindergarten was a very good year for me except one day (and every day I got a wedgies). That day is what this whole story is about, it's why I told you I love making people laugh, why I told you I'm ""special"", and a spaz, everything in the story circles around this one day, *dramatic pause* in kindergarten. It started out like any other day in kindergarten. I woke up, did my daily routine, hopped in the car, and headed to school. When I got to school I grabbed my daily binder and patted the education sign like a mall cop would pat the observe and report sign. I did all my work and colored (which was basically all my work). It came around break so we ran around the play ground and got are little snack. When we finished getting the last few drops out of our juice boxes we headed over to story time. We were all in the little circle (which was more like a deformed oval) listening to the story, right when I would get into the story and lose my guard I would receive an excruciatingly painful (for a five year old) wedgie. The story was almost finished and our five year old attention spans were wearing thin and we were getting all excited. The story finally finished and we were standing up, and this is where my memory starts to fade. I cracked a really funny joke and the whole kindergarten class erupted into laughter, me being a ""special"" spaz that can't tell if people are laughing at me or with me burst into tears. I remember balling my eyes out at the drinking fountain trying to hide my tears. One of the teachers tried to help me by telling me that they were laughing at my joke. It took me a couple minutes to stop crying but a little longer to realize the were not laughing at me.  To this day I still get reminded by classmates about that day, of course I can laugh about it now but that was in kindergarten, I'm in ninth grade now and for people to remember that is kind of crazy to me. It was a negative experience then, but it turned into a blessing in disguise. It made me grow into a better person, I can tell the difference of laughter and also be okay when people do laugh at me (doing dumb things to make people laugh at me is actually my forte). So remember, being ""special"" could sometimes be the best thing about you, what makes you who you are, what makes you great, what makes you grow, what makes people laugh.",15,20,40,2
20719,8," ""LAUGHTER""  @CAPS1 I hang out with my friends, the one thing we do best is laugh sometimes for no reason. The thing we tend to laugh about is running into trash cans, laundry or maybe even about what we ate for dinner the @TIME1 before. @CAPS1 I am usual stressed out the one thing I love is to hangout with my friends. they usual are good listeners. overall. Though they take your mind off things. So with my friends you can count on having a great time no matter what the occasion is.    @CAPS1 I say trash can I really mean trash cans I remember this one time in the hall way at school my friend was hanging on to my back pack because she tends to loose me in the hall way a lot because I walk a lot faster then her, anyways the class bell had just rouge an all the student were heading to lunch we were. I was just getting ready to cross the hall way an she said don't do it, so I did an nobody stopped! so she kinda slide into a trash can that was hanging on the wall in the hall way, she @MONTH1 have knocked it off but I can't really say? I was still walking an the sound effects were so funny I laugh at it still.       My friend an I have a inside joke? we went out to lunch together. @CAPS1 we saw a laundry mate an I minds went crazy, we made up a funny joke an said that we should make our self's aprons with lots color and rhinestones, so that way if we wanted to get all of our laundry done at the same time. We would take off our clothes there an put on our so called aprons. An do our laundry like it was nothing. @CAPS1 our laundry was done we said that we could pick out a new outfit because all of r close would be clean. yes we are weird but that is what makes us laugh more then anything is being silly an making up story just like that one.  Now about the food its sort of like the laundry but I guess better? I remember @CAPS1 i came to school the next day i just started talking about what i had for dinner @TIME1 i think at that time my mom had asked us if we wanted chicken @PERSON1 an my sister as i screamed an said hell yeah? so dinner was ready an @CAPS1 we went to go site at the table we looked at it an it was not what we expected it to be? it was frozen out of a box an it looked like somebody had eaten the food than puked it back up? it was that great looking.    All of these thing that have named or talked about is how my life is almost everyday @CAPS1 there not drama i love my friend I don't think I could have asked for a better one because all we do is laugh an have fun an fun in to trash can locker an whatever else there is but the one thing that matter the most with my one friend is that @CAPS1 we get in to a fight we can not stay mad at each other well I now that I can't. So at the end of the day I ask her are we done being made at each other? an than we just look at each other an laugh because that about all we can do because the reason was so stupid there was really no need for it.that is what a friend is to me having fun not worrying about what is around us. but just to have fun an be silly. not anybody else but are self's an sometime @CAPS1 we have are really goofy days? we make up the story about our laundry. talking about my life with my friends is nothing better than to laugh because deep down inside you an your friend will look back an say wow those where the best day was @CAPS1-would would get in trouble in class for talking way to much.    ",12,20,30,2
20721,8,"Well ima tell a story about the time i got @CAPS3 down town. When i was heading down town to go meet some body it was cold,dark and just creepy. So on my way there i thought i went to far so i got the bus and was like were am i? I was counfused and like what the heck. Then i ask some one were am i at, the man said your down town i said i know just never mind i walked away kind mad like ugh. So i just called thenm and see were she was at the phone rings then she pick up. Were are you i said, she said down tonw i was like oh my gosh i know but never mind she was like were you at then i said some were in down town. Then she said stupid @CAPS2 on the bus and come down more so i waited for like @NUM1 then the bus comes and i was glad. Then i called her sayin im on the bus on the way she said okay @CAPS1 @CAPS2 @CAPS3 she said i was laughing and said okay i wont. When i @CAPS2 there they laughed at me and i was just like thats not funny i coulda got snacked or raped or it coulda been even more bad. Well thats what you @CAPS2 they said i was like yea yea i know whatever lol. Later that night was like i wont some candy so they showed me ow to @CAPS2 to the store is at so i was like ima go and the last words i heard i heard was @CAPS1 @CAPS2 @CAPS3! i smiled. Well on my way to the store i was cold and listing to music then i @CAPS2 to the store and look around then my phone rings. Hello i said it was that girl she said i just wonted to make shure your not @CAPS3 i said i got this im not gonna @CAPS2 @CAPS3. @NUM2 mins laster im walking out and was looking around like were am i?? i was like oh no not this again i just started to walk the way i came from and didnt see the hose so i went the othere way and i was like gosh im @CAPS3 again? yeah i am. so i didnt wont her to know i was @CAPS3 so i didnt call her and tried to find my own way back but i couldnt so i just tried to think then @NUM3 mins went by she callled. Sooo... darrio she said i answer whats hannin she said you @CAPS3 huh? i laughed no why you say that i asked she was like im looking at you and your going the wrong way i looked back and started to laugh. She came up to me and said you was @CAPS3 i said no i was just getting some air she was like yeah okay darrio you was with a smile i was thinking lke next time ima ask her to come with me i smiled. When we got to her house they laughed again and i just said okay i got @CAPS3 and we all laughed for like @NUM4 mins then just chill. Then i was like its hot in here then i open the wendow they said its cold so i was like okay i closed the window back and went out side for a min. My phone rings i pick up the girl said @CAPS1 @CAPS2 @CAPS3 i was like shut up im not im on the front porch she said soo... your slow you might @CAPS2 @CAPS3 still i laughed and hung up and went in said and we all laughed. Then that hole night was about me getting losted and not know were i was going and yeah thats it.",11,15,26,1
20722,8,"@CAPS3 I'm going to tell @CAPS18 a little story. I remember a time when @CAPS11 cousin @PERSON1 @CAPS3 I decided to make a snowman at @CAPS11 house in @LOCATION1, @LOCATION2. I say to him, I'm bored, @CAPS1 do @CAPS18 want to do?"" @PERSON1 replies,""@CAPS2 go make a snowman."" @CAPS3 I agree that that would be fun. @CAPS34 starts reaching for a jacket @CAPS3 gloves, but I stop him @CAPS3 say,"" @CAPS1 are @CAPS18 getting those for?"" ""@CAPS5's not cold @CAPS20."" ""@CAPS6,"" replies @PERSON1. ""@CAPS33't say I didn't warn @CAPS18.""   We start our snowman by building the base (The biggest piece for the bottom). @CAPS3 after about @NUM1 minutes the base is almost done, but we notice that we're getting cold. ""@CAPS7 we should go inside?"" @PERSON1 says. ""@CAPS8, I @CAPS7 mom will even make us some hot chocolate."" @CAPS9 off we go back inside hoping for some delectably warm hot chocolate. I see @CAPS11 mom @CAPS3 ask, ""@CAPS10 we have some hot chocolate please?"" ""@CAPS11 @CAPS18 look cold, Of course I'll make @CAPS18 some."" @CAPS9 @PERSON1 @CAPS3 I sit downstairs waiting anxiously for our hot chocolate by the heater to get warm.   ""@CAPS5's ready!"" @CAPS11 mom calls from upstairs. We fly down the hall @CAPS3 rush up the stairs. @CAPS3 to our amazement we find not only hot chocolate but a bag of chips as @CAPS28. ""@CAPS14 mom!""I say. ""@CAPS14 @CAPS16 @CAPS17!""says @PERSON1. ""@CAPS18're welcome boys""says @CAPS11 mom. @PERSON1 @CAPS3 I sit down at the table @CAPS3 start drinking our hot chocolate, while @CAPS11 mom puts some chips on paper towels for us. I start eating the chips by the handfuls whereas @PERSON1 grabs one, just one. I ask him,"" @CAPS19 did @CAPS18 only grab one @PERSON1?"" @CAPS20 of the corner of his eye @CAPS34 looks at me @CAPS3 slowly brings the chip to his mouth @CAPS3 takes a bite. As @CAPS34 did that I fell @CAPS20 of @CAPS11 chair in a fit of hysterical laughter.    @CAPS11 mom hears the thump of me hitting the floor @CAPS3 runs upstairs to find me laughing. ""@CAPS1's @CAPS9 funny?"" she asks. I say to @PERSON1, ""@CAPS22 her."" @PERSON1 then complies @CAPS3 grabs another chip @CAPS3 while @CAPS34 looks at her from the corner of his eye, slowly brings @CAPS5 to his mouth @CAPS3 takes a bite. I start busting up laughing again, yet @CAPS11 mom doesn't see the humor. She simply asks,"" @CAPS23 is that @CAPS9 funny?"" @PERSON1 replies,"" I have no idea but @CAPS34 just about died from laughter. I start to stop laughing @CAPS3 I'm able to stand up again. I then tell @CAPS11 mom,"" @CAPS5's the way @CAPS34 looks at @CAPS18, @CAPS5 just makes @CAPS18 laugh.""   I then @CAPS35 to do the same thing, but with no effect to @PERSON1. ""@CAPS19 isn't @CAPS5 working?"" I ask. ""@CAPS26 I'm awesome like that @CAPS3 @CAPS18're @NUM2 says. ""@CAPS6, @CAPS28 I'm gonna keep at @CAPS5 until I get @CAPS5 right."" @CAPS9 I @CAPS35 to mimic everything I saw him do, but to no avail. All I made happen was I spilled @CAPS11 hot chocolate all over myself, which made him laugh, albeit not the way I wanted to. ""@CAPS18 want me to @CAPS22 @CAPS18?"" @PERSON1 says. ""@CAPS31!!!! Please!"" I beg. ""@CAPS6, @CAPS33't say I didn't warn @CAPS18."" @CAPS34 proceeds then to grab another chip @CAPS3 while looking at me from the corner of his eye, bites the chip. I start laughing uncontrollably then @CAPS3 without pause. After about @NUM1 minutes I stop laughing.   ""I'll get that right!"" I say. @PERSON1 says,""@CAPS35 @CAPS5."" I grab a chip @CAPS3 look straight at him @CAPS3 bite down, nothing. I @CAPS35 again, this time while looking at him from the corner of @CAPS11 eye, nothing yet again. I @CAPS7 to myself, ""@CAPS36 I @CAPS33't get @CAPS5 this time I'm giving up."" ""@CAPS6, here goes."" I grab a chip @CAPS3 slowly bring @CAPS5 to @CAPS11 mouth while squinting at him from the corner of @CAPS11 eye. I bite the chip. I notice @CAPS34's laughing. @CAPS34's laughing!!! ""I told @CAPS18 I'd get @CAPS5!"" "" @CAPS31, @CAPS31 @CAPS18 did."" @CAPS3 this is one of the many times laughter brought @CAPS11 cousin @PERSON1 @CAPS3 I together.""",20,18,40,2
20724,8,"  Laughter is a really good thing to have in any relationship you are in whether its a friend ship, a love relation ship, or work relation ship. Either way you need laughter so you don't get so up tight that you are no fun to be around. Every now and then some body around you in your life needs some laughter to cheer them up. people should laugh every day because it makes you feel happy even when you are in a really bad mood.When you are being suicidal all you really want is some one to talk to you and make you smile, laugh, and giggle. It really feels good when you laugh with a friend or a significant other. You like to see people smile and laugh. Your friends and family also like to see you laugh here and there once in awhile. So every now and then laugh for once and be happy even if it is for a few seconds in your life. Laughter is a major thing to have in your life. Its nice to laugh and giggle even when life gets you down and is crappy. Anyone and everyone needs to laugh so they don't become so grouchy and unbearable to be around. So please for ever ones sake around you and in your life please laugh. Come on, you know you want to laugh. Ha ha ha. I hope that at least made you smile a little bit. In any relationship you have or are in laughter is a major thing you need in a relationship. Always try to laugh here and there and you will do just fine in life no matter how screwed up life is at that moment when you laugh.",15,19,34,2
20725,8," I believe that with all people laughter, and having a sense of humor, is something that generally everyone has in common, everyone loves to share with others. Among young teenage girls, laughter is a commodity that is infectious but always wonderful. It's the purest kind of joy we have, it's somethings that brings humans together. It's the beginning and end of friendship and unity. Laughter can ring out and lift the spirits of those that really need it. A simple laugh can make the worst day a little alright. We all know that feeling of dread, and sadness . The kindness, generosity, and good of laughter is one of the few things that are right nowadays. Even in poverty, depression, and oppression the simple joy of laughter can wash away a person's worries for a split second and fill us with utter warmth.  @PERSON1 and I have been the best of friends since we were ten-years-old, and laughter has always been our strongest element. @PERSON1 and I have a knack for making each other burst out in laughter when all we want to do is be angry or just cry. We've decided that apart, we're just a little funny, but with our powers combined we could make anyone laugh. We use that power on each other when we're having bad days, or we simply need some cheering up. I think if it wasn't for laughter we wouldn't even be friends anymore. It really is what brings us together as best friends. We'd be different people. Even if I drifted from her we'd always be cracking jokes, making each others guts hurt, and tearing up from laughing so hard.  My first impression of @PERSON1 was of her stomping down to our neighborhood park to yell at her sister, whom I had been playing with at the time. It would be a very self-explanatory reason of why I didn't like her at first. Luckily, after going to @PERSON1's house with her sister, @PERSON1 and I found that we had many things in common, and we were only four months apart. That childish kind of cajoling held our friendship together, for it was a bit rocky at the beginning. Always fighting, and arguing about things that now, we look back on and laugh at our adolescent stupidity. Either one of us would be popping off with dumb little comments at each other when neither of us wanted to apologize. One time she proceeded to tell me that I couldn't hear her because I had a big bug in my ear. Now we can remind each other of things like that and have a good ole time laughing about it. We were mere @NUM1-year-old's then. Now, almost @NUM2, we rarely fight, but we always laugh and make the best of what we've got with our poking fun. Laughter was definitely the band-aid in the beginning of our rickety friendship. @PERSON1 has a gift to make anything funny at any time. She says the wrong (but hilarious) things, but always at the right time. Laughter is now a necessity between us, it's what keeps our friendship so strong. I think of what the human race would be like if laughter was not a factor in everyday life. Everyone knows that it wasn't a good day if you haven't laughed or let alone smiled. People would be dull, and just unhappy. Laughter heals people from sickness, it gives us the feeling that maybe everything is going to be okay after all. I truly believe that it's healthy for you. With a flip of a switch, laughing can bring within us an ecstatic, and serendipitous feeling. People take it for granted and use it for wrong when it's meant to spread the word of happiness. We're lucky to have a gift of such natural joy. Can anyone even explain, in detail, the feeling laughter truly brings us? I think not. It's like describing the scent of something. You just can't do it. The words aren't there. I think of those poor and miserable people that have forgotten what it feels like to laugh, and it's very sad. I strive to laugh every single day, and make at least one other person laugh. What is a life without a diamond in the rough like laughter? It's no life at all, for laughter will always be your shelter on the pursuit of happiness.",21,20,41,2
20726,8," Laughter, one of life's greatest gifts. Have you ever laughed so hard that you cried? What about laughed so hard you can't breath, or noise no longer escapes from your lips? I am the type of person that can @CAPS6 at something so stupid that when I get done laughing, I don't even know why I started laughing in the first place. I can @CAPS6 so hard that nothing comes out at all! @CAPS1's amazing what laughter can do to a persons heart. The way @CAPS1 makes you feel, the way @CAPS1 makes you act. @CAPS1's so contagious, and @CAPS1 happens all around us everyday. You are never too old for laughter, @CAPS1 happens to the best of us. young or old, @CAPS1 doesn't matter. Laughter has no age limit. One time @CAPS2 @CAPS3 @CAPS4 and I stayed up until three in the @TIME1. We were so delirious, and kooky, we acted like crazy people. Now we have the type of relationship where we can @CAPS6 at almost anything. Literally almost anything... As we were staying up, we drank lots of soda and had sugary foods to fuel us for the night. We made up songs, we danced around @CAPS2 house, and @CAPS1 felt like we laughed for hours! I laughed until tears were flowing out of @CAPS2 eyes, and i couldn't get a breath out of @CAPS2 heaving lungs. When @CAPS1 gets to the silent laughing, @CAPS1's even more funny because that person can't control @CAPS1, and they look so hilarious because there rocking back and forth, with this silly expression upon their face, not making any noise at all. Have you ever just laughed for what feels like a lifetime? How did you feel after that ""lifetime"" of laughter? @CAPS1 almost feels as something as powerful as the sun just warms over your heart and soul. When I @CAPS6 I feel all the happiness and emotion just flow all throughout @CAPS2 entire body. @CAPS1's one of the greatest feelings in the world, I really can't think of a greater feeling than the warmth that laughter brings. @CAPS1's so great when you and a @CAPS3, or group of friends can sit back and enjoy the laughter you share. Even when your feeling down, maybe need some cheering up. You can always depend on a @CAPS6 to pull you through. No matter what mood I'm in, @CAPS5 I hear someone laughing, @CAPS1 is so hard to not join in. Laughing is so contagious! @CAPS1 effects us in our everyday life's. I bet you that, you cannot go one day without hearing someone @CAPS6, or you not laughing yourself. I probably @CAPS6 about five hundred times a day, @CAPS5 not more. I love hearing people @CAPS6, @CAPS1 brightens @CAPS2 mood and also @CAPS2 day. I would most definitely say laughter is very important and beneficial for a relationship. I mean imagine the world without laughter. Boring, right? @CAPS2 advice, @CAPS6 like you heard the funniest thing in the world. @CAPS6 like there is no tomorrow. Who cares @CAPS5 people thinks its dumb. You'll feel much better after you have that tear-induced, hard to breath, silent but oh-so therapeutic @CAPS6. Laughter really is the shortest distance between people!",20,20,40,2
20728,8," Starting a story out with two @NUM1 @DATE1 old boys named @ORGANIZATION1 can already be considered a comedy. Those are the names of my identical twin cousins @ORGANIZATION1 I can honestly admit that they are @NUM2 of the funniest kids I know. My uncle isn't exactly the most intelligent human on earth, @ORGANIZATION1 by the way he named his children it's apparent that his sense of humor is a little bit off, but he's a really hard working man. Occasionally my mom does him favors by taking the twins off his hands for a little while because they can be a handful. Weekends are specifically better to have them over because of my hateful step siblings whom hate me, my brother, my sister, @ORGANIZATION1 even my mom. The amount of tension in the house isn't a healthy amount, so a couple of @NUM1 @DATE1 old running around livens it up a little @ORGANIZATION1 makes us all laugh together as a family. It must have been @DATE1 in @DATE2 when @CAPS7 was home @ORGANIZATION1 we were building onto our house when the twins came over. My mom was getting quite furious at their insanely high energy levels, she appeared to be on the verge of ripping out all her hair. My step dad @PERSON1 needed to go to @PERSON2's for nails @ORGANIZATION1 child locks @ORGANIZATION1 I decided to tag along with him. I thought it would have been a great idea to take the twins with us, just to relieve my mom of the loud mouths for a few minutes. We loaded up the car @ORGANIZATION1 I drove down the highway, amused with the twins in the back seat playing with the ponies @ORGANIZATION1 laughing at the people stopped at red lights. We all sang songs like twinkle twinkle little star, @ORGANIZATION1 the @ORGANIZATION2's until we arrived in the @PERSON2's parking lot. @ORGANIZATION1 finds it pretty hilarious to run down the isles @ORGANIZATION1 hide behind items on the lower shelves, while @ORGANIZATION1 enjoys pretending he's @ORGANIZATION1 @ORGANIZATION1 getting @CAPS7 confused. Eventually the twins were being too obnoxious, resulting in @LOCATION1 @ORGANIZATION1 me catching them @ORGANIZATION1 holding them as captives in the seat-belts of the @PERSON2's cart. It was helpful but didn't do as much justice as we had hoped. We continued along on our adventure in search of the child locks, @ORGANIZATION1 found them down isle @NUM4. There was a large man standing in front of our destination @ORGANIZATION1 when i say large I don't mean muscular, or tall... I mean he probably has a few too many @CAPS1 shows he watches daily, @ORGANIZATION1 maybe a few too many favorite snacks. His hair was long @ORGANIZATION1 sandy blond, he wore a dark purple @CAPS2 die shirt @ORGANIZATION1 slip on sandals. @ORGANIZATION1 apparently hadn't realized how inappropriate it is to talk about a person in a rude fashion, especially when they can hear you. He said, ""@CAPS3 cow @ORGANIZATION1 look at that lady! She's so huge!"" @ORGANIZATION1 laughed outrageously @ORGANIZATION1 agreed. ""@CAPS4! She's as big as our whole car!"" I panicked a bit @ORGANIZATION1 tried to get them to be quiet, however the twins paid @CAPS5 attention to me, they were much more excited to see the man on the tall ladder next to me giggling @ORGANIZATION1 laughing along with them. They were quiet for a moment then @ORGANIZATION1 gasped @ORGANIZATION1 exclaimed, "" @CAPS5 she's as big as a fire truck!"" The man turned around @ORGANIZATION1 glared at me; i apologized at least @NUM5 times @ORGANIZATION1 started to take the boys out of the isle when the man on the ladder hit a button to make the ladder move. I was walking behind the larger man when the ladder made a ridiculously loud beeping sound, like that of a construction vehicle. The boys screamed in fear @ORGANIZATION1 shouted frantically, ""@CAPS6 run as fast as you can hurry! She's backing up @ORGANIZATION1 she's going to squish you on the floor!"" @CAPS7 laughed, even the man they were making fun of, but i was so embarrassed that i just took them to the car @ORGANIZATION1 waited for @PERSON1. I tried to explain to the boys in the car that only big trucks beep when they are backing up, but unsurprisingly, they didn't listen to a word i said. @PERSON1 only took approximately @NUM6 more minutes before he came jogging out the door with the nails, the child locks, @ORGANIZATION1 a gigantic smile plastered on his face. I thought about what had happened in the store @ORGANIZATION1 i chuckled quietly until @PERSON1 hopped into the truck, then i started laughing profusely. When I returned home I told my mom what had happened, she laughed for a while @ORGANIZATION1 i laughed even harder @ORGANIZATION1 quite a bit longer than i had before. I went to sleep with a fairly massive headache that night, but i think it was worth laughing all day for.",23,16,44,2
20733,8," People always say laughter is a big part in a relationship. Is it true? In my opinion I am not so sure, but my grandmother says laughter is always a huge part in a relationship. Makes a you feel good when you make your best friend, parents, boyfriend or girlfriend laugh. It is the best feeling ever because you know how to put a smile on that person. Have you ever been walking around a store and you spot two couples laughing , having fun? I have and sometimes i feel like being in that same place. My grandmother always tells me her stories about her and my grandpa when they were young. She always says ""laughter plays a big part in our relationship"".  She was @NUM1 and @CAPS1 was @NUM2 the first time they met. Everyone always said they were never going to last, but the only way they could find out is to wait and believe. She felt like singing everytime she heard his name. She said she would walk into their shadows with him. She felt like all her problems would go away, everytime she had the chance to hang out with him. Everytime she could think about him she would smile and laugh. Thats how happy she felt about him. Can we call it love? I say it was, sometimes I wish I was in love like my grandmother is. She seems so happy everytime she talks about him, but i still dont know if laughter is @CAPS2 kept them together for so long. I see a really huge smile on my grandmother everytime she says, ""@CAPS1 didn't have the brightest head in the world, but @CAPS1 always knew how put a smile on my face"". Because she says that @CAPS1 wasn't so smart but @CAPS1 knew how to make jokes, and make her laugh. A question she asked me once ""@CAPS2 do you think of two couples when you see them laughing, having a good time"". The first thing that pops to your head is that they know how to have fun and doesnt let anything get in their ways of laughing and having a goodtimes. My grandmother says that the thing that kept her and my grandpa together was laughter, because if you dont know howe to make the other person laugh you dont know if you could have a good time with that person. When my grandparents are mad at each other it never last to long because my gandpa always knows how to make her laugh. Maybe if they didn't know how to make each other laugh than maybe they wouldnt be together still. I understand now my grandmother felt in love with my grandpa, because of how @CAPS1 made her laugh. In a relationship you always have to know how to put a smile on the other person, because if you dont know than pretty sure things will not work out. My grandmother was right, laughter does play a big part in their relationship.They alwasy know how to make everything better by making jokes or by doing something funny. I can never be mad at my grandparents because they know so many tricks to make my self laugh. That's @CAPS2 makes our family relationship stick together, and other familys also.I finally get it laughter is a big part in a relationship.",18,18,36,2
