essay_id_comp,full_text,domain1_score,prompt_name,task,holistic_essay_score
26ED9496E08C,"Dear TEACHER_NAME,

I think the best policy to implement would be policy two, not allowing students to have phones at all. If students were to be allowed cell phone usage during certain times in the day then they would be tempted to use them during class and then precious class time would be wasted on punishment. A phone ringing during class is a distraction not only to the person whose phone it is, but to all the pupils in the room. Also, cell phones could be used to cheat on assignments.

Lets say a teacher is in the middle of an important lecture and a phone goes off. She has to stop what she is doing and waste time figuring out whose phone rang and take time to punish that child. By this time the whole period is wasted because the teacher and the students have lost focus on the subject at hand all because of one cell phone. This wouldn't have happened if the student didn't have a cell phone. Then that pupil would still lose class time by sitting in a principals office or suspension.

Cheating is a shameful act that can hinder a student's educational career. Cell phones can be used to call or text message someone and ask the answer to class work or a state exam. A student taking the SAT could text message their friend and ask the answer to a question. This isn't showing what the student knows, it showing what their friend knows! The test could make the difference between a passing grade and a failing grade for that course. In many schools if you are caught cheating you could be suspended or expelled, and in colleges you are expelled, no questions asked.

I don't like to be distracted when I am working because I lose my train of thought and I'm not focused on what I am doing. This view is shared among many students, so if a cell phone goes off they will become distracted and, as I said, lose focus on their work. This could lower their grade for that assignment and cause their grade for the class to lower too.

I believe cell phones should not be allowed at school because they waste class time, can be used to cheat, and can distract other students. I",4,Cell phones at school,Independent,0.6
8783D7E09D7E,"Dear Mrs. Principal,

I have heard that you are trying to decide between two cell phone policies for the school. I believe that the first cell phone policy, that states students are allowed to bring cell phones to school but they must be turned off during class, is the best choice for the students. In this letter, I will explain to you the advantages of students being allowed to bring cell phones to school. I will also explain why you must trust your students and give them some freedom.

If students could bring their cell phones to school, it would have advantages to the teachers and the students. For example, if a student forgot their homework at their house, they could possibly call a parent and see if the parent could bring the homework to the school. The student would get a better grade on the homework because it wasn't late. Also, the teacher wouldn't have to wait for the student to turn the missing assignment in. Another advantage of students bringing their cell phones to school is that they could use it to plan ahead. Many students, today, have cell phones and are using them constantly. If a student were to use the calendar inside their phone, they could have their phone send them alerts for things such as when a project is due, if they need to study for a test tomorrow, ect. As you can see, students bringing their cell phones to school would have it's advantages for the students and the teachers.

If students brought their cell phones to school, the students would feel more trusted and that they have more freedom. If students feel more trusted, the students would be more likely to act more maturely. The student would feel as if the principal has high standards for them, and when high standards are met, you get more freedom. If the principal gave the students the freedom of using cell phones in school, they would try harder in school to keep their various freedoms, instead of acting immaturely and loosing their freedom of using cell phones in school. If students had more freedom, they would feel more trusted.

As you can see, their are many advantages in letting students bring their cell phones to school. Students would use their cell phone if they forgot their homework or in case of emergency. They could use their cell phones to become more organized. Students would also feel more trusted and live up to higher standards in order to keep their freedom of using cell phones in school. I hope you consider my suggestion.

Sincerely,

STUDENT_NAME",4,Cell phones at school,Independent,0.6
3CD912C299E0,"Dear Principal,

Cell phones should be allowed in schools, but only in the lunch periods and other free times. For certain reasons, some students forget work at home and they need there parent to bring it to school for them. If there parents are able to bring there work then the student wouldn't get a missing assignment or project. A reason why they shouldn't be allowed in classrooms is that they could cheat on a test.

Students feel more comfortable when they have there phone, I know that I feel more in touch with my parents and friends. Lets say there is a family emergency, or soccer practice got cancelled its a nice thing to know ahead of time so you can schedule out your homework, or after school plans. You cant stop students to not have there phones someone is going to use it. Even if schools try to enforce the ""no cell phone rule"" there will be students secretly using it.

Cell phones these days have the latest technology on them. You can check your email, grades that are online , and also the internet so its easy to look up an answer to a test . Cell phones are almost just like computers. They should DEFINATLY not be allowed in the classroom, me being a student and having to not use my cell phone is a struggle. Every student can go with out 6 hours without one though, and ever so often when your in the halls or at lunch you get to take a glace at your phone.

I vary with both sides of this argument. If you allow them to have it in the halls and lunchroom, the school would be more ""loved"" by the students that go to school there. Its also not a good thing for students to be cheating on tests. I think if you could have cell phones allowed but only for emrgency, or if your really need to use it, but should only be used in the halls or at lunch .In this case i agree with having students being allowed to have there cell phones, but are limited to where they can use them.",4,Cell phones at school,Independent,0.6
604BECEA8FBE,"Dear principle,

Imagine kids finally paying attention in class. Wouldn't that be great! I believe you should follow the first policy. Allow students to bring phones to school and use them during luch periods and other free times, as long as the phones are turned off. This is going to take affect as soon as possible. This will happen in SCHOOL_NAME

school.

I believe that you should follow policy number one because maybe if it is important they can take the call or the text message during the lunch periods. for example my good friend is a textaholic. She loves to text. If you allow using phones during lunch periods maybe she wont have to get written up for using her phone in class.

Every day a student here has to argue for their phone back. It is getting on my last nerve so much that sometimes i have to argue back at the security! Maybe if you let us text we won't have to disrespect the teachers n this school. You already took every fun thing out of our lifes why cant we just have a little bit of fun and text during lunch periods?

Every day a parent has to come in and get a students phone back. Aren't you tired of these students not listening to you? Just give them a break and let them use their phones! what is a kid going to do bad with a phone? Is the kid going to threaten another school mate wit a phone? I don't think so. Are kids going to throw phones at other kids heads for the fun of it?

You need just a break. If you keep making up new rules then more students are going to disrespect you and not follow the rules. Instead of letting them not use their phones you should give them a certain time when and when not to use their phones. If you were us students wouldn't you feel the same way?? Reconsider letting us use our phones and we promise we will make it our worth while!",4,Cell phones at school,Independent,0.6
9ABAA03ACB4B,"Dear TEACHER_NAME,

I personally feel rethinking the policy of having cell phones in school is a great idea. In my opinion, having cell phones at school would be a privilege. I have came up with two reasons why having cell phones at appropriate times should be a school policy.

First of all, in this generation having a cell phone with you is a must. You always see teens with cell phones. Teens and cell phones are like alcoholics and alcohol.

You can't keep them apart, or they become a mess. Teens are addicted to cell phones. Even when they're not suppose to use their cell phones, they do it anyways. Giving them the privilege to use their phones at school at appropriate times could increase the number of students that get in trouble because of their cell phones.

Secondly, cell phones could help in case of emergencies. During an emergency you can't always reach a telephone. If teens could have cell phones at school getting in touch with a family member wouldn't be a problem. Announcing on the intercom the appropriate time when to get in touch with a family member could help out a lot.

In conclusion, you changing the policy to, ""yes students can use their cell phones at appropriate times"" could make an impact on the school. You can always make more exceptions to the policy for those who don't abide by it. I hope you take my letter into consideration, and that my reasons why we should have cell phones in school makes an impact. Thank you for your time and patience.

Sincerely,

STUDENT_NAME",3,Cell phones at school,Independent,0.4
7157D835228A,"Dear TEACHER_NAME,

My name is STUDENT_NAME.

Today i am here to talk to you about our cell phone policy here at school. Everyone has there different opinion on it. I'm writing this to tell you mine.

My opinion is that we should be allowed to have our phones in school, and use them during lunch, or free times, but have them off in class. i think if we do this students will, or should have them off in class cause we get to us them any other time. if they do have them on in class, this privilege should be taken away. As a student, I would use my phone during lunch, and free periods. when I'm in a class, or not allowed to use it, i wouldn't use it because we can already use it at another time, and if we want to still be able to use our phones in school, i would not use it when I'm not supposed too.

Reason's why we should be able to have our phones in school:

- some students walk home, or ride a bus, in case of emergency, we need phones to contact someone.

- If allowed, to use phones, during free times, students wouldn't be up walking around, yelling across the room, and just be wild. we could text that person, and talk to them that way instead.

- if we earned the right to have our phones in school, we should be able to have them.

one problem would be, not being concentrated in class. i think that as long as you tell them they have to keep there grades up, and earn it, they can have phones. if only a few students haven't earned the right to have there phone in school, they can't have it.

things student's have to do to earn it:

- keep grades up.

- get good grades on test / quizzes.

- be responsible.

- don't get in trouble.

- do what your told.

- no punishments at home.

- listen to parents.

if all goes well, we should be able to have our phones. if it would become a problem, and was not working, it should be taken away. if a student is caught with there phone in class, they should get it taken away, a parent should have to come pick it up, and they can' t use there phone is school anymore. if they proceed to do so, it would get taken away, a referral should be given, along with detention, a phone call home, and a parent would have to pick it up again. thank you for taking the time to read this. i ask you to please take this into consideration.

thank you once again.

Sincerely,

STUDENT_NAME.

eighth grade student.      ",3,Cell phones at school,Independent,0.4
75F35B39F4AA,"I think there should be no cell phones in school because that can be a very big distraction to students. That is a very bad idea. This me opinion no student is going to follow this politely these are a bunch of immature kids and will not follow this rule. Some kid will think it is all right to have cell phone in class. Kids will use the cell phone to cheat on a test get the right answerers and not pay attention in class and to distracted by the cell phone. And just because you say put the cell phone during class but you allow it during lunch or free time. They are going to take that granite and expect to have there cell phone out . And they are going to finds ways to have there cell phone and once you let them have there cell phone you can never take that back.

But in some case that could be a good thing in case of an emergence's like the school caught on fire a robber or some kind of crime.",2,Cell phones at school,Independent,0.2
9C4B06B51CFC,"I think that policy 1 is the best choice depending on the school. Elementary schools shouldn't allow the use of a cell phone during free time because the students may not be able to handle using a phone in a proper manner. Middle school and high school students on the other hand are young adults and should be able to handle using a phone with out disrupting another student. There should be limits though like no getting on the internet with your phone, no calls depending on where the student is at that time. At middle school and high school, kids don't really get the kind of free time that adults think they do and its because there is nothing to do, no games, nothing. There might be a couple of friends to talk to but that's it. There are some kids that have no friends in that specific class that they get free time in. So there should be something else to do other than sit down and watch everyone else talk with their friends. And as long as they keep their phones of in class they should be able to use it during free time. So that's why I thing that policy 1 is the best way to go.",2,Cell phones at school,Independent,0.2
F0DBA31AF30C,"Dear Principal,

The policy I believe is better is Policy 1 because if students actually pay attention in class they should get some time to talk to there friends by text or by calling them and asking them how has there day been and talk about any problems they have been having at all in the day. To me policy 1 is the best choice to go with because nothing wrong is happening as long as they text or talk about good things and not bad things in class or outside of class, but the phones should not be turned on in class at all times.

If students get the chance to text at school in lunchtime they should earn it as long as they behave good. The phones shouldn't be turned on while in class because then it would get in the way of there studying and their class work also. To me policy 1 is the best way to go, policy 2 is not the best way to go with because what if an emergency or some other thing happened how will they contact you or you contact your parents. That is one reason another reason is students have the authority to be able to use there phone, why cant they I know it gets in the way of there class work but they might need it some day in the future in case of an emergency. But there phone also gets in the way of there studying and of there work so that is the backside to it, but students should be able to use there phones no matter what happens.

Policy too says that phones are not allowed at school, that is not a good thing students should be able to have there phones with them but turned off that's easy that is what the principal should have done in the fist place or they could've also told students to bring there phones have them turned on only answer emergency calls, and be able to answer them but not text or call your friends while at school, that is another policy that could have been done but since those aren't policies than policy 1 is the best policy to go with.

Policy 2 is not the best policy because why shouldn't students be able have phones with them at school, they should be able too, they have the right, nobody can say that they cant have phones with them or bring phones to school. The students have the right nobody can say that they cant bring phones, whoever says that does not know what they are talking about. Students should be able to bring phones and text there friends because they just want to talk and hang out with them, what is that wrong to do, I say no because it is just there friends, nothing is wrong with that. Students should be able to bring phones to school and have them turned off during class but on during lunch, nutrition, break, and between going to your next class.

Policy 1 is the best policy to go with because students get to use there cell phones at school , and in policy 2 students do no get the chance to bring them or to use them. That to me is not a cool policy because students should get the chance to use phones at school.      ",3,Cell phones at school,Independent,0.4
D972C6918584,"Dear Principal,

Tick tock what is that noise, that is the sound of the clocks going off to switch classes and the time for all cell phones to start going off.

I believe that all cell phones should be aloud at school for many reasons, but a few reasons would have to be because what if someone had an emergency out of the classroom or in the bathroom you would obviously need a phone or something for them to call for help. Also i think that all students should have cell phones no matter what because some students might go home with friends or go home by themselves, and all parents need to get in touch with their children to make sure they made it home safe!

Students get there phones taking up so much during school because they either get a phone call or a text message during class because they forget to turn their phones off or they just leave them on vibrate and that is not allowed. I think if they made a phone policy to use them only for emergency's or specific purposes then we would probably not have as big of problems as we have been having.

I agree with policy 1 that they should allow students to bring phones to school and use them during lunch periods and other free times, as long as their turned off during class time. I think if every student in middle school wrote a paper to a principal saying they would only use their cell phone's for emergency's only then I believe that they might would allow them to stay on and stay with them at school.

I hope that each principal at each middle school will get this letter and look back and think that if each student listens to this and follows these proper directions and don't use there phones during class then they might make this a rule to have cell phone's back!",3,Cell phones at school,Independent,0.4
